,video_id,title,views,likes,comments,duration_minutes,publish_time_hours
175,9kIb4yZHWfg,THE TRUTH… $360 KYLIE COSMETICS BRUSH SET REVIEW,13578939,409168.0,39307.0,25.8,8.52
176,AQnPujLx2Os,MY BOYFRIEND’S DAD DOES MY MAKEUP | Jeffree Star,4795211,179082.0,21470.0,23.17,23.93
177,9fNvbeBLwGc,HOLIDAY 2017 ⭐️ COLLECTION & SKIN FROST PALETTE REVEAL | Jeffree Star Cosmetics,3638806,143519.0,23039.0,27.05,23.35
178,fQrFtXGfEH4,FACE MASK VS. iPHONE X FACE ID,2450465,77681.0,3491.0,11.33,0.23
179,0hXNWDBAw34,BURN BOOK MEAN GIRLS EYESHADOW PALETTE... HIT OR MISS?! | Jeffree Star,5979414,178370.0,7962.0,15.1,0.38
180,FlVMMkxG8I4,JELLY HIGHLIGHTER...?! TESTING WEIRD MAKEUP | Jeffree Star,5119134,149747.0,6786.0,11.87,0.17
181,BmEV4-KGjBw,THE TRUTH… FENTY BEAUTY GALAXY COLLECTION,4300109,134252.0,6798.0,24.8,23.8
182,4pUPRstQnwA,GLITTER GLAMGLOW FACE MASK!! REVIEW + DEMO,2433839,73647.0,4061.0,10.82,23.98
183,vn8vdoxM3CA,WORLD’S WEIRDEST MASCARA?! MY EYES ARE SHOOK!,6374179,168239.0,11852.0,12.87,23.02
184,4HZv5HzFfGk,THE STAR ⭐ FAMILY COLLECTION: REVEAL & SWATCHES | Jeffree Star Cosmetics,8359051,247691.0,25793.0,28.73,4.88
185,ovEYfyOx7pc,Kylie Cosmetics THE PURPLE PALETTE + FALL COLLECTION: Review & Swatches,5842786,137078.0,6842.0,17.5,22.22
186,_bB35mCqNyU,MEAN GIRLS MAKEUP BRUSHES… Are They Jeffree Star Approved?,2760367,93504.0,4604.0,13.03,23.8
187,UuwAfDSKZm4,MINI VELOUR LIQUID LIPSTICKS: Reveal & Swatches | Jeffree Star Cosmetics,1921187,70323.0,5610.0,9.47,22.72
